,player_name,height (in),pts,reb,ast,college,country,team,2020-21 Salary ($),2020-21 Salary (Millions),Salary Range
0,Aaron Gordon,81.0,15.433333333333332,6.8,2.6333333333333333,Arizona,USA,ORL,18136364.0,18.136364,15M to 19.9M
1,Aaron Holiday,73.0,5.9,1.3,1.7,UCLA,USA,IND,2345640.0,2.34564,1M to 2.4M
2,Abdel Nader,78.0,3.5,1.7,0.4,Iowa State,Egypt,BOS,1752950.0,1.75295,1M to 2.4M
3,Al Horford,82.0,13.5,6.966666666666666,4.633333333333333,Florida,Dominican Republic,BOS,27500000.0,27.5,> 20M
4,Al-Farouq Aminu,81.0,9.133333333333333,7.5,1.3666666666666665,Wake Forest,USA,POR,9720900.0,9.7209,7.5M to 9.9M
5,Alec Burks,78.0,7.7333333333333325,3.2,1.2333333333333334,Colorado,USA,SAC,6000000.0,6.0,5M to 7.4M
6,Alex Caruso,77.0,6.4,2.25,2.55,Texas A&M,USA,LAL,2750000.0,2.75,2.5M to 4.9M
7,Alex Len,85.0,9.2,6.533333333333334,0.9666666666666668,Maryland,Ukraine,ATL,4032648.0,4.032648,2.5M to 4.9M
8,Alfonzo McKinnie,80.0,3.1,1.95,0.25,None,USA,TOR,1762796.0,1.7627959999999998,1M to 2.4M
9,Alize Johnson,81.0,0.9,1.4,0.1,Missouri State,USA,IND,399591.0,0.399591,< 1M
10,Andre Drummond,83.0,15.3,15.133333333333333,1.8333333333333333,Connecticut,USA,DET,29546311.0,29.546311,> 20M
11,Andre Iguodala,78.0,6.433333333333334,3.8333333333333335,3.2999999999999994,Arizona,USA,GSW,15000000.0,15.0,10M to 14.9M
12,Andre Roberson,79.0,5.8,4.9,1.1,Colorado,USA,OKC,152839.0,0.152839,< 1M
13,Andrew Nicholson,81.0,2.6,1.6,0.3,St. Bonaventure,Canada,BKN,2844429.0,2.844429,2.5M to 4.9M
14,Andrew Wiggins,80.0,19.8,4.4,2.2666666666666666,Kansas,Canada,MIN,29542010.0,29.542009999999998,> 20M
15,Anfernee Simons,76.0,3.8,0.7,0.7,None,USA,POR,2252040.0,2.25204,1M to 2.4M
16,Anthony Davis,82.33333333333333,27.33333333333333,11.633333333333333,2.766666666666667,Kentucky,USA,NOP,32742000.0,32.742,
17,Aron Baynes,82.0,5.5,4.833333333333334,0.8666666666666667,Washington State,Australia,BOS,6975610.0,6.9756100000000005,5M to 7.4M
18,Austin Rivers,76.0,11.733333333333334,2.2333333333333334,3.0,Duke,USA,HOU,3174603.0,3.174603,2.5M to 4.9M
19,Avery Bradley,74.0,13.5,3.8,2.2,Texas,USA,LAC,5635000.0,5.635,5M to 7.4M
20,Bam Adebayo,82.0,7.9,6.4,1.85,Kentucky,USA,MIA,5115492.0,5.115492,5M to 7.4M
21,Ben McLemore,77.0,6.5,1.8333333333333333,0.6333333333333334,Kansas,USA,SAC,2852708.0,2.8527080000000002,2.5M to 4.9M
22,Ben Simmons,82.0,16.35,8.45,7.949999999999998,Louisiana State,Australia,PHI,29250000.0,29.25,> 20M
23,Bismack Biyombo,81.0,5.366666666666667,5.7666666666666675,0.7666666666666666,None,Democratic Republic of the Congo,ORL,2331593.0,2.3315930000000002,1M to 2.4M
