,season,player_name,height (in),pts,reb,ast,college,country,team
0,2016-17,AJ Hammons,84.0,2.2,1.6,0.2,Purdue,USA,DAL
1,2017-18,Aaron Brooks,72.0,2.3,0.5,0.6,Oregon,USA,MIN
2,2016-17,Aaron Brooks,72.0,5.0,1.1,1.9,Oregon,USA,IND
3,2018-19,Aaron Gordon,81.0,16.0,7.4,3.7,Arizona,USA,ORL
4,2016-17,Aaron Gordon,81.0,12.7,5.1,1.9,Arizona,USA,ORL
5,2017-18,Aaron Gordon,81.0,17.6,7.9,2.3,Arizona,USA,ORL
6,2016-17,Aaron Harrison,78.0,0.2,0.6,0.6,Kentucky,USA,CHA
7,2017-18,Aaron Harrison,78.0,6.7,2.7,1.2,Kentucky,USA,DAL
8,2018-19,Aaron Holiday,73.0,5.9,1.3,1.7,UCLA,USA,IND
9,2017-18,Aaron Jackson,75.0,8.0,3.0,1.0,None,USA,HOU
10,2017-18,Abdel Nader,78.0,3.0,1.5,0.5,Iowa State,Egypt,BOS
11,2018-19,Abdel Nader,78.0,4.0,1.9,0.3,Iowa State,Egypt,OKC
12,2017-18,Adreian Payne,82.0,4.2,1.8,0.0,Michigan State,USA,ORL
13,2016-17,Adreian Payne,82.0,3.5,1.8,0.4,Michigan State,USA,MIN
14,2016-17,Al Horford,82.0,14.0,6.8,5.0,Florida,Dominican Republic,BOS
15,2018-19,Al Horford,82.0,13.6,6.7,4.2,Florida,Dominican Republic,BOS
16,2017-18,Al Horford,82.0,12.9,7.4,4.7,Florida,Dominican Republic,BOS
17,2017-18,Al Jefferson,82.0,7.0,4.0,0.8,None,USA,IND
18,2016-17,Al Jefferson,82.0,8.1,4.2,0.9,None,USA,IND
19,2017-18,Al-Farouq Aminu,81.0,9.3,7.6,1.2,Wake Forest,USA,POR
20,2016-17,Al-Farouq Aminu,81.0,8.7,7.4,1.6,Wake Forest,USA,POR
21,2018-19,Al-Farouq Aminu,81.0,9.4,7.5,1.3,Wake Forest,USA,POR
22,2016-17,Alan Anderson,78.0,2.9,0.8,0.4,Michigan State,USA,LAC
23,2018-19,Alan Williams,80.0,3.6,3.8,0.6,Cal-Santa Barbara,USA,BKN
24,2017-18,Alan Williams,80.0,4.0,4.4,1.6,Cal-Santa Barbara,USA,PHX
25,2016-17,Alan Williams,80.0,7.4,6.2,0.5,California-Santa Barbara,USA,PHX
26,2018-19,Alec Burks,78.0,8.8,3.7,2.0,Colorado,USA,SAC
27,2017-18,Alec Burks,78.0,7.7,3.0,1.0,Colorado,USA,UTA
28,2016-17,Alec Burks,78.0,6.7,2.9,0.7,Colorado,USA,UTA
29,2017-18,Alec Peters,81.0,4.1,1.9,0.6,Valparaiso,USA,PHX
30,2018-19,Alex Abrines,78.0,5.3,1.5,0.6,None,Spain,OKC
31,2017-18,Alex Abrines,78.0,4.7,1.5,0.4,None,Spain,OKC
32,2016-17,Alex Abrines,78.0,6.0,1.3,0.6,None,Spain,OKC
33,2018-19,Alex Caruso,77.0,9.2,2.7,3.1,Texas A&M,USA,LAL
34,2017-18,Alex Caruso,77.0,3.6,1.8,2.0,Texas A&M,USA,LAL
35,2018-19,Alex Len,85.0,11.1,5.5,1.1,Maryland,Ukraine,ATL
36,2017-18,Alex Len,85.0,8.5,7.5,1.2,Maryland,Ukraine,PHX
37,2016-17,Alex Len,85.0,8.0,6.6,0.6,Maryland,Ukraine,PHX
38,2018-19,Alex Poythress,81.0,5.1,3.6,0.8,Kentucky,USA,ATL
39,2017-18,Alex Poythress,81.0,1.0,0.7,0.1,Kentucky,USA,IND
40,2016-17,Alex Poythress,79.0,10.7,4.8,0.8,Kentucky,USA,PHI
41,2016-17,Alexis Ajinca,86.0,5.3,4.5,0.3,None,France,NOP
42,2017-18,Alfonzo McKinnie,80.0,1.5,0.5,0.1,None,USA,TOR
43,2018-19,Alfonzo McKinnie,80.0,4.7,3.4,0.4,None,USA,GSW
44,2018-19,Alize Johnson,81.0,0.9,1.4,0.1,Missouri State,USA,IND
45,2016-17,Allen Crabbe,78.0,10.7,2.9,1.2,California,USA,POR
46,2017-18,Allen Crabbe,78.0,13.2,4.3,1.6,California,USA,BKN
47,2018-19,Allen Crabbe,78.0,9.6,3.4,1.1,California,USA,BKN
48,2018-19,Allonzo Trier,77.0,10.9,3.1,1.9,Arizona,USA,NYK
49,2016-17,Alonzo Gee,78.0,0.8,1.2,0.5,Alabama,USA,DEN
50,2018-19,Amile Jefferson,81.0,2.3,1.8,0.3,Duke,USA,ORL
51,2016-17,Amir Johnson,81.0,6.5,4.6,1.8,None,USA,BOS
52,2018-19,Amir Johnson,81.0,3.9,2.9,1.2,None,USA,PHI
53,2017-18,Amir Johnson,81.0,4.6,4.5,1.6,None,USA,PHI
54,2016-17,Anderson Varejao,83.0,1.3,1.9,0.7,None,Brazil,GSW
55,2018-19,Andre Drummond,83.0,17.3,15.6,1.4,Connecticut,USA,DET
56,2016-17,Andre Drummond,83.0,13.6,13.8,1.1,Connecticut,USA,DET
57,2017-18,Andre Drummond,83.0,15.0,16.0,3.0,Connecticut,USA,DET
58,2017-18,Andre Iguodala,78.0,6.0,3.8,3.3,Arizona,USA,GSW
59,2016-17,Andre Iguodala,78.0,7.6,4.0,3.4,Arizona,USA,GSW
60,2018-19,Andre Iguodala,78.0,5.7,3.7,3.2,Arizona,USA,GSW
61,2018-19,Andre Ingram,75.0,0.0,0.5,0.0,American University,USA,LAL
62,2017-18,Andre Ingram,75.0,12.0,3.0,3.5,American University,USA,LAL
63,2016-17,Andre Roberson,79.0,6.6,5.1,1.0,Colorado,USA,OKC
64,2017-18,Andre Roberson,79.0,5.0,4.7,1.2,Colorado,USA,OKC
65,2018-19,Andrew Bogut,84.0,3.5,5.0,1.0,Utah,Australia,GSW
66,2017-18,Andrew Bogut,84.0,1.5,3.3,0.6,Utah,Australia,LAL
67,2016-17,Andrew Bogut,84.0,2.9,8.1,1.8,Utah,Australia,CLE
68,2018-19,Andrew Harrison,78.0,3.2,1.2,1.4,Kentucky,USA,NOP
69,2016-17,Andrew Harrison,78.0,5.9,1.9,2.8,Kentucky,USA,MEM
70,2017-18,Andrew Harrison,78.0,9.5,2.3,3.2,Kentucky,USA,MEM
71,2016-17,Andrew Nicholson,81.0,2.6,1.6,0.3,St. Bonaventure,Canada,BKN
72,2017-18,Andrew White III,79.0,4.6,2.3,0.4,Syracuse,USA,ATL
73,2018-19,Andrew Wiggins,80.0,18.1,4.8,2.5,Kansas,Canada,MIN
74,2017-18,Andrew Wiggins,80.0,17.7,4.4,2.0,Kansas,Canada,MIN
75,2016-17,Andrew Wiggins,80.0,23.6,4.0,2.3,Kansas,Canada,MIN
76,2018-19,Anfernee Simons,76.0,3.8,0.7,0.7,None,USA,POR
77,2018-19,Angel Delgado,82.0,1.5,2.0,0.0,None,Dominican Republic,LAC
78,2018-19,Ante Zizic,83.0,7.8,5.4,0.9,None,Croatia,CLE
79,2017-18,Ante Zizic,83.0,3.7,1.9,0.2,None,Croatia,CLE
80,2016-17,Anthony Bennett,80.0,5.0,3.4,0.5,Nevada-Las Vegas,Canada,BKN
