,player_name,height (in),pts,reb,ast,college,country,team,2020-21
2,Aaron Gordon,81.0,15.433333333333332,6.8,2.6333333333333333,Arizona,USA,ORL,"$18,136,364 "
4,Aaron Holiday,73.0,5.9,1.3,1.7,UCLA,USA,IND,"$2,345,640 "
6,Abdel Nader,78.0,3.5,1.7,0.4,Iowa State,Egypt,BOS,"$1,752,950 "
8,Al Horford,82.0,13.5,6.966666666666666,4.633333333333333,Florida,Dominican Republic,BOS,"$27,500,000 "
10,Al-Farouq Aminu,81.0,9.133333333333333,7.5,1.3666666666666665,Wake Forest,USA,POR,"$9,720,900 "
13,Alec Burks,78.0,7.733333333333333,3.1999999999999997,1.2333333333333334,Colorado,USA,SAC,"$6,000,000 "
16,Alex Caruso,77.0,6.3999999999999995,2.25,2.55,Texas A&M,USA,LAL,"$2,750,000 "
17,Alex Len,85.0,9.200000000000001,6.533333333333334,0.9666666666666667,Maryland,Ukraine,ATL,"$4,032,648 "
21,Alfonzo McKinnie,80.0,3.1,1.95,0.25,None,USA,TOR,"$1,762,796 "
22,Alize Johnson,81.0,0.9,1.4,0.1,Missouri State,USA,IND,"$399,591 "
29,Andre Drummond,83.0,15.299999999999999,15.133333333333333,1.8333333333333333,Connecticut,USA,DET,"$29,546,311 "
31,Andre Iguodala,78.0,6.433333333333334,3.8333333333333335,3.2999999999999994,Arizona,USA,GSW,"$15,000,000 "
33,Andre Roberson,79.0,5.8,4.9,1.1,Colorado,USA,OKC,"$152,839 "
36,Andrew Nicholson,81.0,2.6,1.6,0.3,St. Bonaventure,Canada,BKN,"$2,844,429 "
38,Andrew Wiggins,80.0,19.8,4.3999999999999995,2.2666666666666666,Kansas,Canada,MIN,"$29,542,010 "
39,Anfernee Simons,76.0,3.8,0.7,0.7,None,USA,POR,"$2,252,040 "
44,Anthony Davis,82.33333333333333,27.333333333333332,11.633333333333333,2.766666666666667,Kentucky,USA,NOP,"$32,742,000 "
51,Aron Baynes,82.0,5.5,4.833333333333334,0.8666666666666667,Washington State,Australia,BOS,"$6,975,610 "
53,Austin Rivers,76.0,11.733333333333334,2.2333333333333334,3.0,Duke,USA,HOU,"$3,174,603 "
54,Avery Bradley,74.0,13.5,3.7999999999999994,2.2,Texas,USA,LAC,"$5,635,000 "
57,Bam Adebayo,82.0,7.9,6.4,1.85,Kentucky,USA,MIA,"$5,115,492 "
59,Ben McLemore,77.0,6.5,1.8333333333333333,0.6333333333333334,Kansas,USA,SAC,"$2,852,708 "
62,Ben Simmons,82.0,16.35,8.45,7.949999999999999,Louisiana State,Australia,PHI,"$29,250,000 "
65,Bismack Biyombo,81.0,5.366666666666667,5.766666666666667,0.7666666666666666,None,Democratic Republic of the Congo,ORL,"$2,331,593 "
66,Blake Griffin,82.0,22.5,7.666666666666667,5.366666666666667,Oklahoma,USA,LAC,"$33,685,241 "
70,Bobby Portis,83.0,11.4,6.5,1.2,Arkansas,USA,CHI,"$3,623,000 "
75,Brad Wanamaker,76.0,3.9,1.1,1.6,Pittsburgh,USA,BOS,"$2,250,000 "
76,Bradley Beal,77.0,23.76666666666667,4.166666666666667,4.5,Florida,USA,WAS,"$28,751,775 "
79,Brandon Goodwin,74.0,1.4,0.2,0.9,None,USA,DEN,"$1,701,593 "
80,Brandon Ingram,81.0,14.600000000000001,4.8,3.0,Duke,USA,LAL,"$27,285,000 "
89,Brook Lopez,84.0,15.333333333333334,4.766666666666667,1.7333333333333334,Stanford,USA,BKN,"$12,697,675 "
90,Bruce Brown,77.0,4.3,2.5,1.2,Miami,USA,DET,"$1,663,861 "
91,Bruno Caboclo,81.0,4.033333333333334,2.5,0.7333333333333334,None,Brazil,SAC,"$361,256 "
92,Bryn Forbes,75.0,7.1000000000000005,1.6333333333333335,1.2333333333333334,Michigan State,USA,SAS,"$2,337,145 "
93,Buddy Hield,76.0,14.933333333333332,4.033333333333333,1.9666666666666668,Oklahoma,Bahamas,SAC,"$24,431,818 "
96,CJ McCollum,75.0,21.8,3.8666666666666667,3.3333333333333335,Lehigh,USA,POR,"$29,354,152 "
100,Cameron Payne,75.0,6.766666666666667,2.033333333333333,3.0,Murray State,USA,CLE,"$1,977,011 "
102,Caris LeVert,79.0,11.333333333333334,3.6,3.3333333333333335,Michigan,USA,BKN,"$16,203,704 "
103,Carmelo Anthony,80.0,17.333333333333332,5.7,1.5666666666666667,Syracuse,USA,HOU,"$2,564,753 "
104,Cedi Osman,80.0,8.45,3.35,1.65,None,Turkey,CLE,"$8,750,000 "
105,Chandler Hutchison,79.0,5.2,4.2,0.8,Boise State,USA,CHI,"$2,443,440 "
114,Chris Boucher,82.0,1.65,1.5,0.05,Oregon,Canada,GSW,"$6,490,385 "
117,Chris Paul,72.0,17.433333333333334,5.0,8.433333333333334,Wake Forest,USA,LAC,"$41,358,814 "
118,Christian Wood,82.5,5.449999999999999,3.1,0.30000000000000004,Nevada-Las Vegas,USA,CHA,"$13,015,874 "
119,Clint Capela,82.0,14.366666666666667,10.533333333333333,1.0999999999999999,None,Switzerland,HOU,"$16,000,000 "
120,Cody Zeller,84.0,9.166666666666666,6.233333333333333,1.5333333333333332,Indiana,USA,CHA,"$15,415,730 "
121,Cole Aldrich,83.0,1.15,1.6,0.25,Kansas,USA,MIN,"$685,340 "
122,Collin Sexton,74.0,16.7,2.9,3.0,Alabama,USA,CLE,"$4,991,880 "
124,Cory Joseph,75.0,7.900000000000001,3.1666666666666665,3.466666666666667,Texas,Canada,TOR,"$12,600,000 "
127,D'Angelo Russell,77.0,17.400000000000002,3.766666666666667,5.666666666666667,Ohio State,USA,LAL,"$28,649,250 "
128,D.J. Augustin,72.0,9.933333333333334,2.033333333333333,3.9333333333333336,Texas,USA,ORL,"$6,666,667 "
129,D.J. Wilson,82.0,3.4,2.55,0.6000000000000001,Michigan,USA,MIL,"$4,548,280 "
133,Dakari Johnson,84.0,1.8,1.1,0.3,Kentucky,USA,OKC,"$459,414 "
134,Damian Jones,84.0,3.0,2.1,0.43333333333333335,Vanderbilt,USA,GSW,"$785,285 "
135,Damian Lillard,75.0,26.566666666666666,4.666666666666667,6.466666666666666,Weber State,USA,POR,"$31,626,953 "
137,Damion Lee,78.0,7.8,3.35,1.15,Louisville,USA,ATL,"$1,762,796 "
139,Damyean Dotson,77.5,7.3999999999999995,2.75,1.25,Houston,USA,NYK,"$2,000,000 "
142,Daniel Theis,80.5,5.5,3.8499999999999996,0.95,None,Germany,BOS,"$5,000,000 "
143,Danilo Gallinari,82.0,17.766666666666666,5.366666666666666,2.233333333333333,None,Italy,LAC,"$19,500,000 "
144,Danny Green,78.0,8.733333333333333,3.633333333333333,1.6666666666666667,North Carolina,USA,TOR,"$15,365,854 "
146,Dante Exum,78.0,7.066666666666666,1.8333333333333333,2.466666666666667,None,Australia,UTA,"$9,600,000 "
147,Danuel House,79.0,0.0,1.0,0.0,Texas A&M,USA,WAS,"$3,717,000 "
150,Darius Miller,80.0,8.0,1.95,1.75,Kentucky,USA,NOP,"$7,000,000 "
156,David Nwaba,76.0,6.8,3.7000000000000006,1.0999999999999999,None,USA,LAL,"$1,862,250 "
161,De'Aaron Fox,75.0,14.45,3.3,5.85,Kentucky,USA,SAC,"$8,099,627 "
162,De'Anthony Melton,76.0,5.0,2.7,3.2,USC,USA,PHX,"$7,812,500 "
163,DeAndre Jordan,83.0,11.9,14.033333333333331,1.6666666666666667,Texas A&M,USA,LAC,"$10,375,678 "
165,DeAndre' Bembry,78.0,5.433333333333334,2.9333333333333336,1.7,None,USA,ATL,"$1,737,145 "
166,DeMar DeRozan,79.0,23.833333333333332,5.033333333333333,5.1000000000000005,Southern California,USA,TOR,"$27,739,975 "
167,DeMarcus Cousins,83.0,22.833333333333332,10.700000000000001,4.533333333333333,Kentucky,USA,NOP,"$2,331,593 "
168,DeMarre Carroll,80.0,11.166666666666666,5.199999999999999,1.4333333333333333,Missouri,USA,TOR,"$6,167,887 "
170,Deandre Ayton,85.0,16.3,10.3,1.8,Arizona,Bahamas,PHX,"$10,018,200 "
171,Dejounte Murray,77.0,5.75,3.4000000000000004,2.1,Washington,USA,SAS,"$14,285,714 "
172,Delon Wright,77.0,7.433333333333333,2.733333333333333,2.766666666666667,Utah,USA,TOR,"$9,000,000 "
173,Demetrius Jackson,73.0,2.266666666666667,0.7000000000000001,0.6666666666666666,Notre Dame,USA,PHI,"$92,857 "
176,Dennis Smith Jr.,75.0,14.399999999999999,3.3499999999999996,5.0,North Carolina State,USA,DAL,"$5,686,677 "
177,Denzel Valentine,78.0,7.6499999999999995,3.8499999999999996,2.1500000000000004,Michigan State,USA,CHI,"$4,642,800 "
180,Derrick Favors,82.0,11.200000000000001,6.900000000000001,1.2,Georgia Tech,USA,UTA,"$9,258,000 "
181,Derrick Jones Jr.,79.0,5.133333333333334,2.8000000000000003,0.5,Nevada-Las Vegas,USA,PHX,"$9,268,293 "
182,Derrick Rose,75.0,14.799999999999999,2.6333333333333333,3.4,Memphis,USA,MIN,"$7,682,927 "
184,Derrick White,76.0,6.550000000000001,2.6,2.2,Colorado,USA,SAS,"$3,516,284 "
186,Devin Booker,78.0,24.53333333333333,3.9333333333333336,4.966666666666666,Kentucky,USA,PHX,"$29,430,000 "
189,Devonte' Graham,74.0,4.7,1.4,2.6,Kansas,USA,CHA,"$1,663,861 "
190,Dewayne Dedmon,84.0,8.633333333333333,7.3,1.1666666666666667,Southern California,USA,SAS,"$3,447,478 "
194,Dillon Brooks,78.0,9.25,2.4,1.25,Oregon,Canada,MEM,"$11,400,000 "
