,player_name,height (in),pts,reb,ast,college,country,team,Height Range
0,AJ Hammons,84.0,2.2,1.6,0.2,Purdue,USA,DAL,"6'10"" - 7'"
1,Aaron Brooks,72.0,3.65,0.8,1.25,Oregon,USA,MIN,<= 6ft
2,Aaron Gordon,81.0,15.433333333333332,6.8,2.6333333333333333,Arizona,USA,ORL,"6'7"" - 6'9"""
3,Aaron Harrison,78.0,3.45,1.6500000000000001,0.8999999999999999,Kentucky,USA,CHA,"6'4"" - 6'6"""
4,Aaron Holiday,73.0,5.9,1.3,1.7,UCLA,USA,IND,"6'1"" - 6'3"""
5,Aaron Jackson,75.0,8.0,3.0,1.0,None,USA,HOU,"6'1"" - 6'3"""
6,Abdel Nader,78.0,3.5,1.7,0.4,Iowa State,Egypt,BOS,"6'4"" - 6'6"""
7,Adreian Payne,82.0,3.85,1.8,0.2,Michigan State,USA,ORL,"6'10"" - 7'"
8,Al Horford,82.0,13.5,6.966666666666666,4.633333333333333,Florida,Dominican Republic,BOS,"6'10"" - 7'"
9,Al Jefferson,82.0,7.55,4.1,0.8500000000000001,None,USA,IND,"6'10"" - 7'"
10,Al-Farouq Aminu,81.0,9.133333333333333,7.5,1.3666666666666665,Wake Forest,USA,POR,"6'7"" - 6'9"""
11,Alan Anderson,78.0,2.9,0.8,0.4,Michigan State,USA,LAC,"6'4"" - 6'6"""
12,Alan Williams,80.0,5.0,4.8,0.9,Cal-Santa Barbara,USA,BKN,"6'7"" - 6'9"""
13,Alec Burks,78.0,7.733333333333333,3.1999999999999997,1.2333333333333334,Colorado,USA,SAC,"6'4"" - 6'6"""
14,Alec Peters,81.0,4.1,1.9,0.6,Valparaiso,USA,PHX,"6'7"" - 6'9"""
15,Alex Abrines,78.0,5.333333333333333,1.4333333333333333,0.5333333333333333,None,Spain,OKC,"6'4"" - 6'6"""
16,Alex Caruso,77.0,6.3999999999999995,2.25,2.55,Texas A&M,USA,LAL,"6'4"" - 6'6"""
17,Alex Len,85.0,9.200000000000001,6.533333333333334,0.9666666666666667,Maryland,Ukraine,ATL,> 7ft
18,Alex Poythress,80.33333333333333,5.599999999999999,3.033333333333333,0.5666666666666668,Kentucky,USA,ATL,"6'7"" - 6'9"""
19,Alexis Ajinca,86.0,5.3,4.5,0.3,None,France,NOP,> 7ft
20,Alfonzo McKinnie,80.0,3.1,1.95,0.25,None,USA,TOR,"6'7"" - 6'9"""
21,Alize Johnson,81.0,0.9,1.4,0.1,Missouri State,USA,IND,"6'7"" - 6'9"""
22,Allen Crabbe,78.0,11.166666666666666,3.533333333333333,1.3,California,USA,POR,"6'4"" - 6'6"""
23,Allonzo Trier,77.0,10.9,3.1,1.9,Arizona,USA,NYK,"6'4"" - 6'6"""
24,Alonzo Gee,78.0,0.8,1.2,0.5,Alabama,USA,DEN,"6'4"" - 6'6"""
25,Amile Jefferson,81.0,2.3,1.8,0.3,Duke,USA,ORL,"6'7"" - 6'9"""
26,Amir Johnson,81.0,5.0,4.0,1.5333333333333332,None,USA,BOS,"6'7"" - 6'9"""
27,Anderson Varejao,83.0,1.3,1.9,0.7,None,Brazil,GSW,"6'10"" - 7'"
28,Andre Drummond,83.0,15.299999999999999,15.133333333333333,1.8333333333333333,Connecticut,USA,DET,"6'10"" - 7'"
29,Andre Iguodala,78.0,6.433333333333334,3.8333333333333335,3.2999999999999994,Arizona,USA,GSW,"6'4"" - 6'6"""
30,Andre Ingram,75.0,6.0,1.75,1.75,American University,USA,LAL,"6'1"" - 6'3"""
31,Andre Roberson,79.0,5.8,4.9,1.1,Colorado,USA,OKC,"6'7"" - 6'9"""
32,Andrew Bogut,84.0,2.6333333333333333,5.466666666666666,1.1333333333333335,Utah,Australia,GSW,"6'10"" - 7'"
33,Andrew Harrison,78.0,6.2,1.7999999999999998,2.4666666666666663,Kentucky,USA,NOP,"6'4"" - 6'6"""
34,Andrew Nicholson,81.0,2.6,1.6,0.3,St. Bonaventure,Canada,BKN,"6'7"" - 6'9"""
35,Andrew White III,79.0,4.6,2.3,0.4,Syracuse,USA,ATL,"6'7"" - 6'9"""
36,Andrew Wiggins,80.0,19.8,4.3999999999999995,2.2666666666666666,Kansas,Canada,MIN,"6'7"" - 6'9"""
37,Anfernee Simons,76.0,3.8,0.7,0.7,None,USA,POR,"6'4"" - 6'6"""
38,Angel Delgado,82.0,1.5,2.0,0.0,None,Dominican Republic,LAC,"6'10"" - 7'"
39,Ante Zizic,83.0,5.75,3.6500000000000004,0.55,None,Croatia,CLE,"6'10"" - 7'"
40,Anthony Bennett,80.0,5.0,3.4,0.5,Nevada-Las Vegas,Canada,BKN,"6'7"" - 6'9"""
41,Anthony Brown,79.0,3.45,1.5,0.85,Stanford,USA,MIN,"6'7"" - 6'9"""
42,Anthony Davis,82.33333333333333,27.333333333333332,11.633333333333333,2.766666666666667,Kentucky,USA,NOP,"6'10"" - 7'"
43,Anthony Morrow,77.0,5.5,0.6,0.5,Georgia Tech,USA,CHI,"6'4"" - 6'6"""
44,Anthony Tolliver,80.0,7.0,3.1333333333333333,1.0,Creighton,USA,DET,"6'7"" - 6'9"""
45,Antonio Blakeney,76.0,7.6,1.7999999999999998,0.9,Louisiana State,USA,CHI,"6'4"" - 6'6"""
46,Antonius Cleveland,78.0,1.4,0.8,0.1,S.E. Missouri,USA,ATL,"6'4"" - 6'6"""
47,Archie Goodwin,77.0,7.3,1.9,1.6,Kentucky,USA,BKN,"6'4"" - 6'6"""
48,Arinze Onuaku,81.0,0.5,0.8,0.3,Syracuse,USA,ORL,"6'7"" - 6'9"""
49,Aron Baynes,82.0,5.5,4.833333333333334,0.8666666666666667,Washington State,Australia,BOS,"6'10"" - 7'"
50,Arron Afflalo,77.0,5.9,1.6,0.95,UCLA,USA,ORL,"6'4"" - 6'6"""
51,Austin Rivers,76.0,11.733333333333334,2.2333333333333334,3.0,Duke,USA,HOU,"6'4"" - 6'6"""
52,Avery Bradley,74.0,13.5,3.7999999999999994,2.2,Texas,USA,LAC,"6'1"" - 6'3"""
53,Axel Toupane,79.0,2.8,0.3,0.0,None,France,NOP,"6'7"" - 6'9"""
54,BJ Johnson,79.0,3.3,1.1,0.0,None,USA,SAC,"6'7"" - 6'9"""
55,Bam Adebayo,82.0,7.9,6.4,1.85,Kentucky,USA,MIA,"6'10"" - 7'"
56,Ben Bentil,81.0,0.0,0.7,0.0,Providence,Ghana,DAL,"6'7"" - 6'9"""
57,Ben McLemore,77.0,6.5,1.8333333333333333,0.6333333333333334,Kansas,USA,SAC,"6'4"" - 6'6"""
