,season,player_name,height (in),height (cm),pts,reb,ast,college,country,team
9147,2016-17,AJ Hammons,84.0,213.36,2.2,1.6,0.2,Purdue,USA,DAL
9647,2017-18,Aaron Brooks,72.0,182.88,2.3,0.5,0.6,Oregon,USA,MIN
9146,2016-17,Aaron Brooks,72.0,182.88,5.0,1.1,1.9,Oregon,USA,IND
10628,2018-19,Aaron Gordon,81.0,205.74,16.0,7.4,3.7,Arizona,USA,ORL
9145,2016-17,Aaron Gordon,81.0,205.74,12.7,5.1,1.9,Arizona,USA,ORL
9648,2017-18,Aaron Gordon,81.0,205.74,17.6,7.9,2.3,Arizona,USA,ORL
9144,2016-17,Aaron Harrison,78.0,198.12,0.2,0.6,0.6,Kentucky,USA,CHA
9649,2017-18,Aaron Harrison,78.0,198.12,6.7,2.7,1.2,Kentucky,USA,DAL
10627,2018-19,Aaron Holiday,73.0,185.42,5.9,1.3,1.7,UCLA,USA,IND
9650,2017-18,Aaron Jackson,75.0,190.5,8.0,3.0,1.0,None,USA,HOU
9651,2017-18,Abdel Nader,78.0,198.12,3.0,1.5,0.5,Iowa State,Egypt,BOS
10626,2018-19,Abdel Nader,78.0,198.12,4.0,1.9,0.3,Iowa State,Egypt,OKC
9652,2017-18,Adreian Payne,82.0,208.28,4.2,1.8,0.0,Michigan State,USA,ORL
9143,2016-17,Adreian Payne,82.0,208.28,3.5,1.8,0.4,Michigan State,USA,MIN
9142,2016-17,Al Horford,82.0,208.28,14.0,6.8,5.0,Florida,Dominican Republic,BOS
10625,2018-19,Al Horford,82.0,208.28,13.6,6.7,4.2,Florida,Dominican Republic,BOS
9653,2017-18,Al Horford,82.0,208.28,12.9,7.4,4.7,Florida,Dominican Republic,BOS
9654,2017-18,Al Jefferson,82.0,208.28,7.0,4.0,0.8,None,USA,IND
9141,2016-17,Al Jefferson,82.0,208.28,8.1,4.2,0.9,None,USA,IND
9655,2017-18,Al-Farouq Aminu,81.0,205.74,9.3,7.6,1.2,Wake Forest,USA,POR
9140,2016-17,Al-Farouq Aminu,81.0,205.74,8.7,7.4,1.6,Wake Forest,USA,POR
10624,2018-19,Al-Farouq Aminu,81.0,205.74,9.4,7.5,1.3,Wake Forest,USA,POR
9117,2016-17,Alan Anderson,78.0,198.12,2.9,0.8,0.4,Michigan State,USA,LAC
10623,2018-19,Alan Williams,80.0,203.2,3.6,3.8,0.6,Cal-Santa Barbara,USA,BKN
9656,2017-18,Alan Williams,80.0,203.2,4.0,4.4,1.6,Cal-Santa Barbara,USA,PHX
9137,2016-17,Alan Williams,80.0,203.2,7.4,6.2,0.5,California-Santa Barbara,USA,PHX
10629,2018-19,Alec Burks,78.0,198.12,8.8,3.7,2.0,Colorado,USA,SAC
9657,2017-18,Alec Burks,78.0,198.12,7.7,3.0,1.0,Colorado,USA,UTA
9115,2016-17,Alec Burks,78.0,198.12,6.7,2.9,0.7,Colorado,USA,UTA
9658,2017-18,Alec Peters,81.0,205.74,4.1,1.9,0.6,Valparaiso,USA,PHX
10621,2018-19,Alex Abrines,78.0,198.12,5.3,1.5,0.6,None,Spain,OKC
9659,2017-18,Alex Abrines,78.0,198.12,4.7,1.5,0.4,None,Spain,OKC
9097,2016-17,Alex Abrines,78.0,198.12,6.0,1.3,0.6,None,Spain,OKC
10370,2018-19,Alex Caruso,77.0,195.58,9.2,2.7,3.1,Texas A&M,USA,LAL
9660,2017-18,Alex Caruso,77.0,195.58,3.6,1.8,2.0,Texas A&M,USA,LAL
10264,2018-19,Alex Len,85.0,215.9,11.1,5.5,1.1,Maryland,Ukraine,ATL
9662,2017-18,Alex Len,85.0,215.9,8.5,7.5,1.2,Maryland,Ukraine,PHX
9091,2016-17,Alex Len,85.0,215.9,8.0,6.6,0.6,Maryland,Ukraine,PHX
10265,2018-19,Alex Poythress,81.0,205.74,5.1,3.6,0.8,Kentucky,USA,ATL
9677,2017-18,Alex Poythress,81.0,205.74,1.0,0.7,0.1,Kentucky,USA,IND
9090,2016-17,Alex Poythress,79.0,200.66,10.7,4.8,0.8,Kentucky,USA,PHI
9088,2016-17,Alexis Ajinca,86.0,218.44,5.3,4.5,0.3,None,France,NOP
9663,2017-18,Alfonzo McKinnie,80.0,203.2,1.5,0.5,0.1,None,USA,TOR
10266,2018-19,Alfonzo McKinnie,80.0,203.2,4.7,3.4,0.4,None,USA,GSW
10267,2018-19,Alize Johnson,81.0,205.74,0.9,1.4,0.1,Missouri State,USA,IND
9087,2016-17,Allen Crabbe,78.0,198.12,10.7,2.9,1.2,California,USA,POR
9664,2017-18,Allen Crabbe,78.0,198.12,13.2,4.3,1.6,California,USA,BKN
10268,2018-19,Allen Crabbe,78.0,198.12,9.6,3.4,1.1,California,USA,BKN
10269,2018-19,Allonzo Trier,77.0,195.58,10.9,3.1,1.9,Arizona,USA,NYK
9086,2016-17,Alonzo Gee,78.0,198.12,0.8,1.2,0.5,Alabama,USA,DEN
10270,2018-19,Amile Jefferson,81.0,205.74,2.3,1.8,0.3,Duke,USA,ORL
9082,2016-17,Amir Johnson,81.0,205.74,6.5,4.6,1.8,None,USA,BOS
10271,2018-19,Amir Johnson,81.0,205.74,3.9,2.9,1.2,None,USA,PHI
9665,2017-18,Amir Johnson,81.0,205.74,4.6,4.5,1.6,None,USA,PHI
9085,2016-17,Anderson Varejao,83.0,210.82,1.3,1.9,0.7,None,Brazil,GSW
10272,2018-19,Andre Drummond,83.0,210.82,17.3,15.6,1.4,Connecticut,USA,DET
9084,2016-17,Andre Drummond,83.0,210.82,13.6,13.8,1.1,Connecticut,USA,DET
9666,2017-18,Andre Drummond,83.0,210.82,15.0,16.0,3.0,Connecticut,USA,DET
9667,2017-18,Andre Iguodala,78.0,198.12,6.0,3.8,3.3,Arizona,USA,GSW
9083,2016-17,Andre Iguodala,78.0,198.12,7.6,4.0,3.4,Arizona,USA,GSW
10273,2018-19,Andre Iguodala,78.0,198.12,5.7,3.7,3.2,Arizona,USA,GSW
10274,2018-19,Andre Ingram,75.0,190.5,0.0,0.5,0.0,American University,USA,LAL
9668,2017-18,Andre Ingram,75.0,190.5,12.0,3.0,3.5,American University,USA,LAL
9092,2016-17,Andre Roberson,79.0,200.66,6.6,5.1,1.0,Colorado,USA,OKC
9669,2017-18,Andre Roberson,79.0,200.66,5.0,4.7,1.2,Colorado,USA,OKC
10275,2018-19,Andrew Bogut,84.0,213.36,3.5,5.0,1.0,Utah,Australia,GSW
9670,2017-18,Andrew Bogut,84.0,213.36,1.5,3.3,0.6,Utah,Australia,LAL
9081,2016-17,Andrew Bogut,84.0,213.36,2.9,8.1,1.8,Utah,Australia,CLE
10276,2018-19,Andrew Harrison,78.0,198.12,3.2,1.2,1.4,Kentucky,USA,NOP
9080,2016-17,Andrew Harrison,78.0,198.12,5.9,1.9,2.8,Kentucky,USA,MEM
9671,2017-18,Andrew Harrison,78.0,198.12,9.5,2.3,3.2,Kentucky,USA,MEM
9079,2016-17,Andrew Nicholson,81.0,205.74,2.6,1.6,0.3,St. Bonaventure,Canada,BKN
9672,2017-18,Andrew White III,79.0,200.66,4.6,2.3,0.4,Syracuse,USA,ATL
10277,2018-19,Andrew Wiggins,80.0,203.2,18.1,4.8,2.5,Kansas,Canada,MIN
9673,2017-18,Andrew Wiggins,80.0,203.2,17.7,4.4,2.0,Kansas,Canada,MIN
9078,2016-17,Andrew Wiggins,80.0,203.2,23.6,4.0,2.3,Kansas,Canada,MIN
10278,2018-19,Anfernee Simons,76.0,193.04,3.8,0.7,0.7,None,USA,POR
10279,2018-19,Angel Delgado,82.0,208.28,1.5,2.0,0.0,None,Dominican Republic,LAC
10280,2018-19,Ante Zizic,83.0,210.82,7.8,5.4,0.9,None,Croatia,CLE
9674,2017-18,Ante Zizic,83.0,210.82,3.7,1.9,0.2,None,Croatia,CLE
9075,2016-17,Anthony Bennett,80.0,203.2,5.0,3.4,0.5,Nevada-Las Vegas,Canada,BKN
9675,2017-18,Anthony Brown,79.0,200.66,3.0,0.0,1.0,Stanford,USA,MIN
9076,2016-17,Anthony Brown,79.0,200.66,3.9,3.0,0.7,Stanford,USA,ORL
10281,2018-19,Anthony Davis,82.0,208.28,25.9,12.0,3.9,Kentucky,USA,NOP
9077,2016-17,Anthony Davis,83.0,210.82,28.0,11.8,2.1,Kentucky,USA,NOP
9676,2017-18,Anthony Davis,82.0,208.28,28.1,11.1,2.3,Kentucky,USA,NOP
9089,2016-17,Anthony Morrow,77.0,195.58,5.5,0.6,0.5,Georgia Tech,USA,CHI
9646,2017-18,Anthony Tolliver,80.0,203.2,8.9,3.1,1.1,Creighton,USA,DET
10282,2018-19,Anthony Tolliver,80.0,203.2,5.0,2.7,0.7,Creighton,USA,MIN
9093,2016-17,Anthony Tolliver,80.0,203.2,7.1,3.6,1.2,Creighton,USA,SAC
10283,2018-19,Antonio Blakeney,76.0,193.04,7.3,1.9,0.7,Louisiana State,USA,CHI
9661,2017-18,Antonio Blakeney,76.0,193.04,7.9,1.7,1.1,Louisiana State,USA,CHI
9645,2017-18,Antonius Cleveland,78.0,198.12,1.4,0.8,0.1,S.E. Missouri,USA,ATL
9104,2016-17,Archie Goodwin,77.0,195.58,7.3,1.9,1.6,Kentucky,USA,BKN
9095,2016-17,Arinze Onuaku,81.0,205.74,0.5,0.8,0.3,Syracuse,USA,ORL
10284,2018-19,Aron Baynes,82.0,208.28,5.6,4.7,1.1,Washington State,Australia,BOS
9627,2017-18,Aron Baynes,82.0,208.28,6.0,5.4,1.1,Washington State,Australia,BOS
9113,2016-17,Aron Baynes,82.0,208.28,4.9,4.4,0.4,Washington State,Australia,DET
9613,2017-18,Arron Afflalo,77.0,195.58,3.4,1.2,0.6,UCLA,USA,ORL
9112,2016-17,Arron Afflalo,77.0,195.58,8.4,2.0,1.3,UCLA,USA,SAC
