Rk,Player,Tm,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,Signed Using,Guaranteed
1,Stephen Curry\curryst01,GSW,43006362.00,45780966.00,,,,,Bird Rights,88787328.00
2,Russell Westbrook\westbru01,WAS,41358814.00,44211146.00,47063478.00,,,,Bird Rights,85569960.00
3,Chris Paul\paulch01,PHO,41358814.00,44211146.00,,,,,Bird Rights,41358814.00
4,John Wall\walljo01,HOU,41254920.00,44310840.00,47366760.00,,,,Bird Rights,85565760.00
5,James Harden\hardeja01,BRK,40824000.00,43848000.00,46872000.00,,,,Bird Rights,84672000.00
6,LeBron James\jamesle01,LAL,39219565.00,41180544.00,44474988.00,,,,Cap Space,124875097.00
7,Kevin Durant\duranke01,BRK,39058950.00,40918900.00,42778850.00,,,,Sign and Trade,79977850.00
8,Paul George\georgpa01,LAC,35450412.00,39344970.00,42492568.00,45640165.00,48787763.00,,Maximum Salary,162928115.00
9,Klay Thompson\thompkl01,GSW,35361360.00,37980720.00,40600080.00,43219440.00,,,Bird Rights,157161600.00
10,Mike Conley\conlemi01,UTA,34504132.00,,,,,,Cap Space,34504132.00
11,Jimmy Butler\butleji01,MIA,34379100.00,36016200.00,37653300.00,,,,Sign and Trade,70395300.00
12,Kemba Walker\walkeke02,BOS,34379100.00,36016200.00,37653300.00,,,,Sign and Trade,70395300.00
13,Kawhi Leonard\leonaka01,LAC,34379100.00,36016200.00,,,,,Cap Space,34379100.00
14,Tobias Harris\harrito02,PHI,33517241.00,36000000.00,38482759.00,40965517.00,,,Bird Rights,148965517.00
15,Kyrie Irving\irvinky01,BRK,33329100.00,34916200.00,36503300.00,,,,Cap space,104748600.00
16,Khris Middleton\middlkh01,MIL,33051724.00,35500000.00,37948276.00,40396552.00,,,Bird Rights,106500000.00
17,Anthony Davis\davisan02,LAL,32742000.00,35361360.00,37980720.00,40600080.00,43219440.00,,Bird,146684160.00
18,Blake Griffin\griffbl01,DET,33685241.00,29764126.00,,,,,,62219691.00
19,Damian Lillard\lillada01,POR,31626953.00,43750000.00,47250000.00,50750000.00,54250000.00,,1st Round Pick,227626953.00
20,Kevin Love\loveke01,CLE,31300000.00,31300000.00,28900000.00,,,,Bird Rights,91500000.00
21,Kyle Lowry\lowryky01,TOR,30000000.00,,,,,,Bird Rights,30000000.00
22,Joel Embiid\embiijo01,PHI,29542010.00,31579390.00,33616770.00,,,,1st Round Pick,94738170.00
23,Andrew Wiggins\wiggian01,GSW,29542010.00,31579390.00,33616770.00,,,,1st Round Pick,94738170.00
24,Kristaps Porziņģis\porzikr01,DAL,29467800.00,31650600.00,33833400.00,36016200.00,,,Bird Rights,94951800.00
25,Devin Booker\bookede01,PHO,29430000.00,31610000.00,33790000.00,35970000.00,,,1st round pick,130800000.00
26,Karl-Anthony Towns\townska01,MIN,29430000.00,31610000.00,33790000.00,35970000.00,,,1st Round Pick,128620000.00
27,CJ McCollum\mccolcj01,POR,29354152.00,30864198.00,33333333.00,35802469.00,,,1st Round Pick,129354152.00
28,Ben Simmons\simmobe01,PHI,29250000.00,31590000.00,33930000.00,36270000.00,38610000.00,,1st Round pick,169650000.00
